"","season","site","region","nest_ID","FirstFound","LastPresent","LastChecked","first_found2","last_alive2","last_checked2","status","level","nest_hab","Fate","hum_a","veh_a","dog_a","don_a","dof_a","hof_a","pbd_a","gul_a","hum_m","veh_m","dog_m","don_m","dof_m","hof_m","pbd_m","gul_m","hum_b","veh_b","dog_b","don_b","dof_b","pbd_b","gul_b","hof_b","hum_p","veh_p","dog_p","hof_p","fox_p","n_surveys","days_active","fundays","uncertain_days","halfway"
"1","200910","Bashams Beach","FP","200910_Bashams Beach_1",75,75,77,2009-09-17,2009-09-17,2009-09-19,"N","L0","beach","1",3,0,1,1,0,0,0,0,6,0,2,2,0,0,0,0,"1","0","1","1","0","0","0","0",-Inf,-Inf,1,-Inf,"0",2,1,1,2,1
"2","200910","Bashams Beach","FP","200910_Bashams Beach_2",110,116,120,2009-10-22,2009-10-28,2009-11-01,"Y","L3","beach","1",7.5,0,5.5,1.5,4,0,0,0,10,0,7,2,6,0,0,0,"1","0","1","1","1","0","0","0",3,-Inf,3,-Inf,"0",2,8,2,4,2
"3","200910","Inman River Outlet","FP","200910_Inman River Outlet_1",137,151,151,2009-11-18,2009-12-02,2009-12-02,"N","L1","beach","0",3,0,1,1,0,0,0,0,3,0,1,1,0,0,0,0,"1","0","1","1","0","0","0","0",1,-Inf,1,-Inf,"0",1,14,0,0,0
"4","200910","Maslin Beach","FP","200910_Maslin Beach_2",152,173,173,2009-12-03,2009-12-24,2009-12-24,"Y","L2","dune","0",3,0,1,0,1,0,0,0,3,0,1,0,1,0,0,0,"1","0","1","0","1","0","0","0",2,-Inf,2,-Inf,"0",1,21,1,0,0
"5","200910","Parsons Beach","FP","200910_Parsons Beach_1",170,170,178,2009-12-21,2009-12-21,2009-12-29,"N","L0","beach","1",7,0,0,0,0,0,0.5,7,10,0,0,0,0,0,1,13,"1","0","0","0","0","1","1","0",2,-Inf,-Inf,-Inf,"0",2,4,9,8,4
"6","200910","Port Willunga","FP","200910_Port Willunga_1",92,92,92,2009-10-04,2009-10-04,2009-10-04,"N","L0","foredune/face","0",10,0,3,0,3,0,0,0,10,0,3,0,3,0,0,0,"1","0","1","0","1","0","0","0",2,-Inf,2,-Inf,"0",1,0,1,0,0
"7","201011","Bashams Beach","FP","201011_Bashams Beach_2",144,154,154,2010-11-25,2010-12-05,2010-12-05,"Y","L3","beach","0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1","0","1","0","0","0","0","0",1,-Inf,1,-Inf,"0",1,10,1,0,0
"8","201011","Inman River Outlet","FP","201011_Inman River Outlet_2",177,204,204,2010-12-28,2011-01-24,2011-01-24,"Y","L2","beach","0",2,0,2,1,1,0,0,0,2,0,2,1,1,0,0,0,"1","0","1","1","1","0","0","0",1,-Inf,1,-Inf,"0",1,27,1,0,0
"9","201011","Maslin Beach","FP","201011_Maslin Beach_1",48,67,67,2010-08-21,2010-09-09,2010-09-09,"Y","L2","dune","0",4,0,6,2,4,0,0,0,4,0,6,2,4,0,0,0,"1","0","1","1","1","0","0","0",2,-Inf,2,-Inf,"0",1,19,0,0,0
"10","201011","Maslin Beach","FP","201011_Maslin Beach_2",106,129,129,2010-10-18,2010-11-10,2010-11-10,"Y","L3","dune","0",1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,"1","0","1","0","0","0","0","0",1,-Inf,1,-Inf,"0",1,23,0,0,0
"11","201011","Maslin Beach","FP","201011_Maslin Beach_3",179,179,179,2010-12-30,2010-12-30,2010-12-30,"Y","L3","beach","0",13,0,4,1,3,0,0,0,13,0,4,1,3,0,0,0,"1","0","1","1","1","0","0","0",3,-Inf,2,-Inf,"0",1,0,1,0,0
"12","201011","Port Willunga","FP","201011_Port Willunga_1",164,184,184,2010-12-15,2011-01-04,2011-01-04,"Y","L3","beach","0",16,0,3,0,3,0,0,2,16,0,3,0,3,0,0,2,"1","0","1","0","1","0","1","0",3,-Inf,2,-Inf,"0",1,20,1,0,0
"13","201011","Watsons Gap","FP","201011_Watsons Gap_1",92,92,94,2010-10-04,2010-10-04,2010-10-06,"N","L0","beach","1",2.5,0,1,0,1,0,0.5,6,4,0,2,0,2,0,1,6,"1","0","1","0","1","1","1","0",3,-Inf,3,-Inf,"0",2,1,3,2,1
"14","201011","Carrickalinga North","FP","201011_Carrickalinga North_1",114,115,119,2010-10-26,2010-10-27,2010-10-31,"Y","L2","beach","1",2.5,0,0.5,0.5,0,0,0,0,4,0,1,1,0,0,0,0,"1","1","1","1","0","0","0","0",2,1,2,-Inf,"0",2,3,2,4,2
"15","201011","Carrickalinga Rotunda","FP","201011_Carrickalinga Rotunda_1",115,115,121,2010-10-27,2010-10-27,2010-11-02,"Y","L2","beach","1",2,0,1,1,0,0,0,0,2,0,2,2,0,0,0,0,"1","1","1","1","0","0","0","0",2,1,2,-Inf,"0",2,3,2,6,3
"16","201011","Carrickalinga Rotunda","FP","201011_Carrickalinga Rotunda_3",190,209,209,2011-01-10,2011-01-29,2011-01-29,"Y","L3","beach","0",38,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,"1","0","1","0","0","0","0","0",3,-Inf,2,-Inf,"0",1,19,1,0,0
"17","201011","Hindmarsh River Mouth","FP","201011_Hindmarsh River Mouth_1",74,76,80,2010-09-16,2010-09-18,2010-09-22,"N","L0","beach","1",1.5,0,0.5,0,0.5,0,1.5,4,3,0,1,0,1,0,3,5,"1","0","1","0","1","1","1","0",3,-Inf,2,-Inf,"0",2,4,5,4,2
"18","201011","Hindmarsh River Mouth","FP","201011_Hindmarsh River Mouth_2",98,110,114,2010-10-10,2010-10-22,2010-10-26,"N","L0","dune","1",6,0,2,0,2,0,1,0,8,0,2,0,2,0,2,0,"1","0","1","0","1","1","0","0",3,-Inf,2,-Inf,"0",2,14,2,4,2
"19","201011","Hindmarsh River Mouth","FP","201011_Hindmarsh River Mouth_3",131,143,143,2010-11-12,2010-11-24,2010-11-24,"Y","L3","foredune/face","0",9,0,4,3,1,0,1,3,9,0,4,3,1,0,1,3,"1","0","1","1","1","1","1","0",3,-Inf,2,-Inf,"0",1,12,0,0,0
"20","201011","Hindmarsh River Mouth","FP","201011_Hindmarsh River Mouth_4",164,164,169,2010-12-15,2010-12-15,2010-12-20,"Y","L3","foredune/face","1",0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,5,"1","0","1","0","0","0","1","0",1,-Inf,1,-Inf,"0",1,2.5,6,5,2.5
"21","201011","Hindmarsh River Mouth","FP","201011_Hindmarsh River Mouth_6",208,208,209,2011-01-28,2011-01-28,2011-01-29,"Y","L3","beach","1",14.5,0,6.5,2,4.5,0,0,4,15,0,7,2,5,0,0,8,"1","0","1","1","1","0","1","0",3,-Inf,3,-Inf,"0",2,0.5,2,1,0.5
"22","201011","Myponga Beach","FP","201011_Myponga Beach_2",154,158,158,2010-12-05,2010-12-09,2010-12-09,"Y","L3","estuary/spit","0",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,"1","0","1","0","0","0","1","1",1,-Inf,1,2,"0",1,4,0,0,0
"23","201011","Normanville North","FP","201011_Normanville North_1",106,114,114,2010-10-18,2010-10-26,2010-10-26,"Y","L3","beach","1",2,0,0,0,0,0,2,0,2,0,0,0,0,0,2,0,"1","0","1","0","0","1","0","0",1,-Inf,1,-Inf,"0",1,8,0,0,0
